#repoName,trunk path,tag prefix,branches (under branches/ separated by |)
# Beware: no spaces below outside the comment lines,,,
# Format,,,
# Website,,,
#mojohaus.github.io,site,,
# mojos,,,
#animal-sniffer,trunk/mojo/animal-sniffer,animal-sniffer-,
#build-helper-maven-plugin,trunk/mojo/build-helper-maven-plugin,build-helper-maven-plugin-,
#buildnumber-maven-plugin,trunk/mojo/buildnumber-maven-plugin,buildnumber-maven-plugin-,
clirr-maven-plugin,trunk/mojo/clirr-maven-plugin,clirr-maven-plugin-,
cobertura-maven-plugin,trunk/mojo/cobertura-maven-plugin,cobertura-maven-plugin-,
dbunit-maven-plugin,trunk/mojo/dbunit-maven-plugin,dbunit-maven-plugin-,
dbupgrade,trunk/mojo/dbupgrade,dbupgrade-,
ditaot-maven-plugin,trunk/mojo/ditaot-maven-plugin,ditaot-maven-plugin-,
enchanter,trunk/mojo/enchanter,enchanter-,
exec-maven-plugin,trunk/mojo/exec-maven-plugin,exec-maven-plugin-,
extra-enforcer-rules,trunk/mojo/extra-enforcer-rules,extra-enforcer-rules-,
findbugs-maven-plugin,trunk/mojo/findbugs-maven-plugin,findbugs-maven-plugin-,findbugs-maven-plugin-1.2.x|findbugs-maven-plugin-2.0.x|findbugs-maven-plugin-MFINDBUGS-119
flatten-maven-plugin,trunk/mojo/flatten-maven-plugin,flatten-maven-plugin-,
gwt-maven-plugin,trunk/mojo/gwt-maven-plugin,gwt-maven-plugin-,
javancss-maven-plugin,trunk/mojo/javancss-maven-plugin,javancss-maven-plugin-,
jaxb2-maven-plugin,trunk/mojo/jaxb2-maven-plugin,jaxb2-maven-plugin-,
jboss-packaging-maven-plugin,trunk/mojo/jboss-packaging-maven-plugin,jboss-packaging-maven-plugin-,
jdepend-maven-plugin,trunk/mojo/jdepend-maven-plugin,jdepend-maven-plugin-,
jdiff-maven-plugin,trunk/mojo/jdiff-maven-plugin,jdiff-maven-plugin-,
license-maven-plugin,trunk/mojo/license-maven-plugin,license-maven-plugin-,
maven-native,trunk/mojo/maven-native,maven-native-,
mojo-parent,trunk/mojo/mojo-parent,mojo-parent-,
mrm,trunk/mojo/mrm,mrm-,
properties-maven-plugin,trunk/mojo/properties-maven-plugin,properties-maven-plugin-,
rpm-maven-plugin,trunk/mojo/rpm-maven-plugin,rpm-maven-plugin-,
sonar-maven-plugin,trunk/mojo/sonar-maven-plugin,sonar-maven-plugin-,sonar-maven-plugin-1.x
sql-maven-plugin,trunk/mojo/sql-maven-plugin,sql-maven-plugin-,
sqlj-maven-plugin,trunk/mojo/sqlj-maven-plugin,sqlj-maven-plugin-,
taglist-maven-plugin,trunk/mojo/taglist-maven-plugin,taglist-maven-plugin-,
templating-maven-plugin,trunk/mojo/templating-maven-plugin,templating-maven-plugin-,
tidy-maven-plugin,trunk/mojo/tidy-maven-plugin,tidy-maven-plugin-,
truezip,trunk/mojo/truezip,truezip-,
versions-maven-plugin,trunk/mojo/versions-maven-plugin,versions-maven-plugin-,
vfs,trunk/mojo/vfs,vfs-,
wagon-maven-plugin,trunk/mojo/wagon-maven-plugin,wagon-maven-plugin-,
webstart,trunk/mojo/webstart,webstart-1,
xml-maven-plugin,trunk/mojo/xml-maven-plugin,xml-maven-plugin-,
appassembler,trunk/mojo/appassembler,appassembler-,
castor-maven-plugin,trunk/mojo/castor-maven-plugin,castor-maven-plugin-,
